IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
109736;Качество;109736;Y;;;;Вся представленная нами продукция соответствует требованиям нормативных документов РФ ;text;;;text;;10;;;;
109737;Страхование;109737;Y;;;;Страхуем грузы в компании надежного страхового партнера;text;;;text;;20;;;;
109738;Честная цена;109738;Y;;;;Являясь дилером и официальным партнером российских заводов, мы предлагаем выгодные цены ;text;;;text;;30;;;;
109739;Доставка/оплата;109739;Y;;;;Осуществляем доставку продукции по всей территории РФ, даже в самые отдаленные уголки страны;text;;;text;;40;;;;
109740;Возврат;109740;Y;;;;Гарантируем возврат или обмен товара согласно действующему законодательству РФ;text;;;text;;50;;;;
109741;Ответ за 15 минут;109741;Y;;;;Оставьте заявку любым удобным способом, и в течение 15 минут менеджер свяжется с Вами;text;;;text;;60;;;;
