IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP733;IC_GROUP0;IC_GROUP1;IC_GROUP2
109758;inforce;109758;Y;;;/upload/iblock/c73/g3keytwu2elfmv4ptitwwkxj5ox1wy0i.jpg;;text;;;text;;10;;/catalog;;;
109759;inforce;109759;Y;;;/upload/iblock/ae9/2ye2z7wav2oeva8nbnkzyakmfoke6l2k.jpg;;text;;;text;;20;;/catalog;;;
109760;inforce;109760;Y;;;/upload/iblock/be0/af5j5md7fcpbmbtpw54193wk2yoamn06.jpg;;text;;;text;;30;;/catalog;;;
109761;inforce;109761;Y;;;/upload/iblock/358/p5o4g3yii9n14n3nu8tsre5q6qt8nhng.jpg;;text;;;text;;40;;/catalog;;;
109762;inforce;109762;Y;;;/upload/iblock/227/kje15f725r0edt5ehtiw6f1l6m4uob7a.jpg;;text;;;text;;50;;/catalog;;;
