IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP729;IC_GROUP0;IC_GROUP1;IC_GROUP2
109708;Автомобильные кабели;109708;Y;;;;;text;/upload/iblock/f94/4vz916wowhr61354iyyglj59fu15t93t.png;;text;;100;;/catalog;;;
109709;Информационные кабели;109709;Y;;;;;text;/upload/iblock/1e2/tq9ccw4ej9mhqea14k8s9cf46a9yspwk.png;;text;;200;;/;;;
109710;Сварочные кабели;109710;Y;;;;;text;/upload/iblock/591/bhbwqzynnun9tie71fjoj725bjrivraj.png;;text;;300;;/;;;
109711;Монтажные кабели;109711;Y;;;;;text;/upload/iblock/54e/dws4hqdsaju9mt3vw2rt35tyj8s173pk.png;;text;;400;;/;;;
109712;Силовые кабели;109712;Y;;;;;text;/upload/iblock/148/g4gp7xa7qf220d9g7190ivw8sy9z4jtf.png;;text;;500;;/;;;
109713;Судовые кабели;109713;Y;;;;;text;/upload/iblock/fc8/26g25vusirqqsuc20xfu7qfs293v5beq.png;;text;;600;;/;;;
